0.426;4.598
1.707;5.274
0.288;5.721
1.496;5.081
1.309;3.813
1.151;4.499
2.089;4.917
1.127;5.464
1.661;4.272
0.608;5.553
1.704;4.825
2.298;3.783
0.247;4.583
0.447;4.281
0.451;5.034
1.235;5.036
0.839;4.284
0.626;5.980
1.475;5.625
2.317;4.499
0.627;4.675
1.691;6.140
0.806;4.038
0.646;4.158
0.303;5.092
1.780;4.505
0.852;4.524
1.116;5.122
1.612;4.191
1.235;5.118
1.649;4.546
0.585;3.848
2.345;4.898
1.531;4.764
0.209;5.390
0.649;5.815
-0.034;5.139
1.013;5.190
0.667;5.028
0.745;4.265
2.766;5.772
-0.085;4.510
1.839;6.062
1.146;5.966
0.358;5.428
0.694;6.094
2.154;4.379
-0.059;6.214
1.572;4.092
0.936;5.294
4.328;1.939
8.164;-0.464
6.803;-0.694
4.303;1.417
7.432;0.235
7.128;-1.906
6.362;-0.549
7.534;0.678
6.145;0.364
5.173;0.541
10.667;0.245
7.361;-0.181
5.976;-1.996
7.005;0.223
7.171;-2.016
7.265;-0.990
6.784;-1.202
5.609;1.487
5.153;-0.956
5.689;0.261
5.492;-0.325
5.427;0.339
4.582;-0.635
3.941;1.254
5.238;0.421
6.596;0.359
6.680;-0.374
6.285;-0.832
5.480;-0.820
8.217;-0.330
6.436;-0.742
5.603;0.247
5.155;-0.153
9.457;0.092
7.482;-0.947
5.132;1.881
7.328;1.160
7.488;-0.069
6.599;-1.095
7.414;1.983
6.293;-1.476
9.058;1.555
3.537;-0.385
4.598;-1.230
6.225;-0.136
6.182;3.242
6.951;-0.429
7.578;0.531
6.722;1.437
5.760;-1.777
